Transferencias da União para o Estado do Acre (em R$ milhões);jan/11;fev/11;mar/11;abr/11;mai/11;jun/11;jul/11;ago/11;set/11;out/11;nov/11;dez/11;jan/12;fev/12;mar/12;abr/12;mai/12;jun/12;jul/12;ago/12;set/12;out/12;nov/12;dez/12;jan/13;fev/13;mar/13;abr/13;mai/13;jun/13;jul/13;ago/13;set/13;out/13;nov/13;dez/13;jan/14;fev/14;mar/14;abr/14;mai/14;jun/14;jul/14;ago/14;set/14;out/14;nov/14;dez/14;jan/15;fev/15;mar/15;abr/15;mai/15;jun/15;jul/15;ago/15;set/15;out/15;nov/15;dez/15;jan/16;fev/16;mar/16;abr/16;mai/16;jun/16;jul/16;ago/16;set/16;out/16;nov/16;dez/16;jan/17;fev/17;mar/17;abr/17;mai/17;jun/17;jul/17;ago/17;set/17;out/17;nov/17;dez/17;jan/18;fev/18;mar/18;abr/18;mai/18;jun/18;jul/18;ago/18;set/18;out/18;nov/18;dez/18;jan/19;fev/19;mar/19;abr/19;mai/19;jun/19;jul/19;ago/19;set/19;out/19
1. Transferências Obrigatórias;188,5744;201,708;135,6947;178,8763;199,693;181,0862;160,7154;162,031;132,4692;178,9092;182,5952;214,8851;186,7132;236,9271;158,7283;201,5068;214,0593;178,549;151,2241;163,7773;147,6747;149,2138;197,4962;233,2994;195,6191;275,0891;162,9419;177,8591;241,2842;206,7948;149,7726;193,5838;162,8929;171,2518;222,3791;224,2864;268,1482;280,9774;178,3999;199,3516;262,9849;197,3343;175,516;206,757;186,2004;179,9479;221,0722;239,864;273,7942;275,056;206,863;219,5376;271,258;232,3465;180,0546;206,241;174,6303;199,2939;221,6702;253,3139;235,6095;294,0362;186,0203;221,0313;282,9114;237,1012;181,0431;216,0506;179,7814;214,589;391,8197;475,7519;254,147;324,3239;208,5663;251,2364;278,1591;260,0454;207,6512;229,2232;196,2254;223,2993;223,8429;297,8345;270,6377;352,4053;244,3924;257,1329;309,7923;290,3858;206,5858;252,9568;197,1316;234,3201;272,167;319,8612;327,0207;375,9117;259,9534;269,4454;338,3909;269,4222;228,8894;235,718;216,5105;194,3634
1.1 - Transferências Obrigatórias Constitucionais;180,2611;192,0507;125,7004;168,8336;190,4797;172,0464;149,9344;151,1469;120,9166;162,038;167,4559;194,2973;179,2779;214,4852;145,8677;185,2155;205,059;175,1787;133,1424;144,5789;126,5614;134,9274;181,1731;204,6498;190,0156;255,4642;147,4655;158,8382;226,5995;189,2566;135,235;176,4251;146,3683;146,3228;202,9443;209,2588;248,5593;264,8826;157,9482;180,3008;239,5505;180,1407;154,8998;187,8635;164,9856;156,9251;205,9067;226,0981;252,4355;258,0829;187,7564;203,064;249,0988;216,7922;161,7241;188,1035;157,0176;180,45;201,3292;231,2573;222,4873;276,5069;167,9987;201,9308;264,9107;219,0843;162,28;197,2792;160,7606;196,752;373,6756;454,0792;238,8499;304,5961;190,4654;232,775;259,8976;239,8763;189,5546;210,8676;177,6258;205,2312;205,6712;277,3062;254,549;334,4204;223,4239;236,6957;287,3975;272,2825;186,2215;231,9981;175,3446;198,9687;252,0107;312,7175;311,4887;339,2143;257,2565;248,1596;318,6368;249,6593;209,4048;215,1293;194,4059;173,6344
1.2 - Transferências Obrigatórias Legais;8,3133;9,6574;9,9942;10,0427;9,2133;9,0398;10,781;10,8842;11,5526;16,8713;15,1393;20,5878;7,4354;22,442;12,8606;16,2912;9,0003;3,3704;18,0817;19,1984;21,1133;14,2865;16,3231;28,6496;5,6035;19,625;15,4765;19,0209;14,6847;17,5382;14,5376;17,1587;16,5246;24,929;19,4348;15,0276;19,5888;16,0947;20,4517;19,0508;23,4344;17,1936;20,6161;18,8935;21,2148;23,0228;15,1655;13,7659;21,3587;16,9732;19,1066;16,4736;22,1592;15,5543;18,3305;18,1375;17,6127;18,8439;20,341;22,0566;13,1222;17,5293;18,0216;19,1005;18,0007;18,0169;18,7631;18,7714;19,0208;17,837;18,1441;21,6727;15,2971;19,7278;18,1009;18,4614;18,2615;20,1691;18,0966;18,3555;18,5996;18,0681;18,1717;20,5283;16,0886;17,9849;20,9686;20,4372;22,3948;18,1034;20,3643;20,9586;21,787;35,3514;20,1563;7,1437;15,532;36,6973;2,6968;21,2858;19,754;19,7629;19,4846;20,5887;22,1045;20,729
2. Transferências Discricionárias;0,8265;1,3502;44,0671;2,6607;5,3153;26,1462;24,7895;8,6495;8,826;26,4177;28,3038;75,464;1,865;8,8441;15,8748;5,2338;13,5368;27,2549;81,2425;7,4424;3,106;5,9013;5,8384;36,9657;4,6813;13,6993;6,8686;21,1943;11,3212;20,9441;19,6651;5,4277;2,8582;16,6462;3,9789;37,4463;14,7856;6,0362;22,4298;11,4583;12,874;27,256;10,7748;13,761;11,0743;14,0197;7,8158;9,1627;7,334;1,3902;4,8133;0,7661;3,0479;9,9318;2,6031;9,5286;1,8751;3,8691;5,0081;7,5451;7,5221;3,4072;9,3502;6,1973;17,6431;2,0333;8,9992;5,6112;3,9385;5,2293;5,1582;96,001;7,5498;0,4833;9,6629;1,3902;1,3753;4,5859;2,8242;4,8402;3,0197;6,6971;4,4349;78,0282;1,3299;10,4066;13,9178;4,4074;1,2114;6,3943;3,9222;2,0624;4,1282;7,5155;20,6992;13,3347;0,0751;3,3096;0,5843;3,4471;1,1143;0,308;8,4745;18,8194;10,567;2,1015
2.1 - Transf. Discricionárias Específicas;0,3641;0,5334;43,383;0;0,8963;23,2758;16,7905;3,3909;3,8939;23,694;23,769;56,0063;1,2714;2,2299;7,2962;2,2705;9,033;7,4072;54,5697;0,7339;2,1933;1,8375;4,598;23,9919;4,5605;2,4871;5,3476;13,7933;5,4173;10,0902;14,7269;3,409;2,6076;8,816;2,4992;26,2446;11,7471;5,4732;9,595;10,8602;10,5913;20,1681;9,1505;11,9706;9,5735;13,9628;3,2141;24,5625;6,994;1,3868;4,7802;0,7661;1,8638;4,4616;1,3276;4,8742;1,5684;0,7482;4,2854;3,6202;3,2473;3,3882;3,6134;5,9034;5,1028;1,3323;8,9992;4,5712;3,5785;2,4813;2,3144;18,5193;7,5498;0,0893;9,6629;1,3902;1,3753;4,5859;2,8242;3,0048;2,9744;6,6971;4,4349;45,6301;1,291;10,4066;13,9178;4,1574;1,1189;6,1708;3,7184;2,0059;3,968;7,2255;20,0481;13,2463;0,0751;3,2565;0,5683;3,4471;1,0556;0,05;8,2253;18,7769;10,5516;1,8588
2.2 - Transf. Discricionárias Voluntárias;0,4623;0,8168;0,6841;2,6607;4,419;2,8703;7,999;5,2586;4,9321;2,7237;4,5348;19,4578;0,5936;6,6142;8,5786;2,9633;4,5037;19,8477;26,6727;6,7085;0,9127;4,0637;1,2404;12,9738;0,1208;11,2123;1,5211;5,901;5,9039;10,4848;4,9382;2,0187;0,2506;7,5802;0,3227;9,1017;3,0385;0,563;12,8348;0,5981;2,1092;7,0879;1,6242;1,7904;1,5008;0,057;3,2517;-15,8499;0,34;0,0034;0,0331;0;1,1841;5,4702;1,0292;4,6545;0,3067;3,1209;0,7226;3,025;4,2748;0;5,7178;0,2749;12,5403;0,701;0;1;0,3;2,69;2,8237;77,1262;0;0,3941;0;0;0;0;0;1,8354;0,0453;0;0;32,2846;0,0389;0;0;0,25;0,0885;0,2;0,1803;0;0,1166;0,25;0,4496;0,0084;0;0,0531;0;0;0,0586;0,238;0,2292;0,0425;0,0154;0,2227
2.3 - Transf. Discricionárias por Delegação;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,5;0;0,3691;0;0;0;0,25;1,157;2,1;0;0;0;0;0,1735;0;0;0;0;0;1,35;0,45;0;0;0;0;0;0;0,2462;0;0;0;0;0,9;0;0,019;0,019;0,019;0;0;0;0,04;0,06;0,058;0,02;0,3554;0;0;0;0;0;0;0;0;0;0;0;0,1135;0;0;0;0;0,004;0,0235;0,0235;0,0565;0,0437;0,04;0,2015;0,08;0;0;0,016;0;0;0,02;0,02;0;0;0,02
Transferencias da União para o Estado de Alagoas (em R$ milhões);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1. Transferências Obrigatórias;237,0517;251,825;169,495;236,7908;246,5369;227,2459;203,0254;197,5084;156,8191;219,7348;227,6198;276,0801;246,4855;263,3867;198,6035;265,0061;270,0983;212,3002;182,0419;210,4695;178,2805;189,1966;260,8721;292,0581;226,3089;330,9848;211,7104;246,8978;292,4372;253,5983;182,7157;233,2682;201,2196;199,2781;264,7365;270,7679;327,9377;359,0282;214,7294;240,9731;338,713;241,1369;212,3118;249,2092;221,6428;211,5843;267,9803;290,4473;322,2791;339,9835;251,0623;318,2813;310,3875;290,1805;210,0111;256,8813;204,502;255,4238;269,0391;311,3753;299,7967;344,3339;224,7845;264,2521;341,9087;290,5995;219,4683;257,0343;216,0688;254,1406;450,6789;561,4955;296,2757;398,0719;246,8913;298,3837;325,0917;303,4703;251,4179;271,0171;239,8177;268,6267;260,727;382,535;309,4152;448,9721;284,3803;291,2104;383,824;338,9295;242,5853;297,8901;233,121;274,5471;317,3184;373,0644;398,5517;433,2249;303,8336;338,3167;392,2945;311,7926;269,5647;285,4329;259,8429;234,8238
1.1 - Transferências Obrigatórias Constitucionais;226,2556;238,0234;156,5914;225,3188;231,1842;215,582;184,6786;187,259;142,9231;202,4203;204,0719;243,9506;237,0502;251,9133;183,3017;246,5696;256,3552;208,158;168,3751;181,2149;159,0477;173,0251;224,3957;259,3113;223,2967;315,804;181,194;226,367;271,791;230,0103;166,4211;215,3321;180,1669;180,3981;245,2402;252,3988;296,6825;341,0968;192,7153;219,3691;315,9002;219,2565;190,0768;227,8322;201,6495;193,0634;247,3456;275,3753;300,104;322,3361;227,87;302,1732;288,973;270,4152;191,0967;237,1206;183,8114;230,7835;244,4683;279,9817;286,7133;326,4912;203,4356;242,4146;320,3361;267,5832;198,0848;235,9535;194,1265;234,3149;430,0753;530,9251;278,3273;378,047;226,9747;276,8873;306,3848;282,84;226,6086;249,895;216,7925;246,7396;239,308;352,8874;293,3577;430,6608;264,5234;272,7433;365,4672;319,2361;223,9535;273,7687;210,2206;237,6658;296,0595;364,7204;382,4096;394,928;302,1148;316,8246;371,8799;293,1471;248,6473;263,1943;237,4208;214,08
